종_한글명,사육_난이도_5단계,초기비용_등급_5단계,성체크기_등급_3단계,온도습도_5단계,활동패턴,식성타입,먹이빈도_등급,핸들링적합도_5단계,사육장_사이즈_3단계,외형태그,종류,관상용_애완용,사진_URL
목도리도마뱀,3,3,2,3,주행성,육식,3,3,3,화려하다,도마뱀,애완용,https://commons.wikimedia.org/wiki/Special:FilePath/Chlamydosaurus_kingii_1.jpg
이스턴 컬러드 리자드,3,3,2,2,주행성,육식,3,3,2,멋있다,도마뱀,관상용,https://godomall.speedycdn.net/43da8789667684f6585e72cb805feb6e/goods/1000001277/image/magnify/1000001277_magnify_062.jpg
보우핑거 게코,4,2,1,3,야행성,육식,3,2,2,화려하다,게코,관상용,https://commons.wikimedia.org/wiki/Special:FilePath/Peter%2527s_Bow-fingered_Gecko_%28Cyrtodactylus_consobrinus%29_%2823390216075%29.jpg
피쉬스케일게코,1,2,1,3,야행성,육식,3,1,2,귀엽다,게코,관상용,https://commons.wikimedia.org/wiki/Special:FilePath/Spotted_Fish-scale_Gecko_Geckolepis_maculata.jpg
세일핀 리자드,3,5,2,4,주행성,잡식,3,3,3,귀엽다,도마뱀,관상용,https://commons.wikimedia.org/wiki/Special:FilePath/Philippine_Sailfin_Lizard_-_Hydrosaurus_pustulatus_-_Ninoy_Aquino_Parks_%2526_Wildlife_Center_03.jpg
피터슨 밴디드 스킨크,2,2,1,2,주행성,잡식,3,3,2,멋있다,도마뱀,관상용,https://commons.wikimedia.org/wiki/Special:FilePath/Hinulia_nigrolabris.jpg
그린아이게코,3,2,1,2,주행성,육식,3,3,2,화려하다,게코,관상용,https://commons.wikimedia.org/wiki/Special:FilePath/Green-eyed_Gecko_%28Gekko_smithii%29_%288735147043%29.jpg
그라미네아,2,5,1,2,주행성,잡식,3,2,2,귀엽고 화려하다,아브로니아,관상용,https://commons.wikimedia.org/wiki/Special:FilePath/Abronia_graminea.jpg
블루뷰티에놀,3,5,2,2,야행성,육식,3,3,2,화려하다,에놀,관상용,https://commons.wikimedia.org/wiki/Special:FilePath/Anolis_gorgonae_MatthewGable_%28cropped%29.JPG
바바투스,2,3,1,2,야행성,육식,3,3,2,화려하다,에놀,관상용,https://commons.wikimedia.org/wiki/Special:FilePath/Anolis_barbatus_114423748.jpg
멕시칸 자이언트 혼리자드,3,5,1,4,주행성,육식,1,2,3,귀엽다,에놀,관상용,https://commons.wikimedia.org/wiki/Special:FilePath/Phrynosoma_asio.jpg
호넬리 카멜레온,4,4,1,3,주행성,육식,4,2,3,화려하다,카멜레온,관상용,https://commons.wikimedia.org/wiki/Special:FilePath/Lizard_kenya.jpg
오셀레이트 스킨크,2,2,1,2,주행성,잡식,3,3,2,화려하다,도마뱀,관상용,https://commons.wikimedia.org/wiki/Special:FilePath/Chalcides_ocellatus.jpg
에메랄드 그라스 리자드,3,2,1,2,주행성,육식,3,3,2,귀엽다다,도마뱀,관상용,https://commons.wikimedia.org/wiki/Special:FilePath/Coppery_Grass_Lizard_2013_10_25_2375.jpg
엘레강스게코,3,1,1,2,주행성,육식,3,3,2,화려하다,게코,관상용,https://commons.wikimedia.org/wiki/Special:FilePath/Gekkonidae-_Stenodactylus_sthenodactylus_%28Elegant_Short-fingered_Gecko%29_-_46801777655.jpg
밀키프록,4,1,1,2,야행성,육식,4,2,2,귀엽다,개구리,관상용,https://commons.wikimedia.org/wiki/Special:FilePath/Amazon_milk_frog_-_Trachycephalus_resinifictrix.JPG
